id;name;price;capacity;price_per_gb;type;cache;form_factor;interface
167;Crucial P5 Plus;91.95;500;0.184;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
168;Crucial BX500;124.99;2000;0.062;SSD;;2.5;SATA 6.0 Gb/s
169;MSI SPATIUM M480 PRO;209.03;2000;0.105;SSD;;M.2-2280;M.2 PCIe 4.0 X4
170;Lexar NM710;158.99;2000;0.079;SSD;;M.2-2280;M.2 PCIe 4.0 X4
171;Solidigm P44 Pro;169.99;2000;0.085;SSD;;M.2-2280;M.2 PCIe 4.0 X4
172;Solidigm P44 Pro;87.99;1000;0.088;SSD;;M.2-2280;M.2 PCIe 4.0 X4
173;PNY CS2241;209.99;4000;0.052;SSD;;M.2-2280;M.2 PCIe 4.0 X4
174;Patriot P210;53.99;1000;0.054;SSD;;2.5;SATA 6.0 Gb/s
175;Seagate FireCuda;278.27;8000;0.035;7200;256;3.5;SATA 6.0 Gb/s
176;Corsair MP700 PRO;299.99;2000;0.15;SSD;;M.2-2280;M.2 PCIe 5.0 X4
177;ADATA Legend 800;76.41;1000;0.076;SSD;;M.2-2280;M.2 PCIe 4.0 X4
178;Sabrent Rocket 4 Plus;219.99;2000;0.11;SSD;;M.2-2280;M.2 PCIe 4.0 X4
179;Seagate IronWolf Pro NAS;439.99;22000;0.02;7200;512;3.5;SATA 6.0 Gb/s
180;FanXiang S500 Pro;64.98;1000;0.065;SSD;;M.2-2280;M.2 PCIe 3.0 X4
181;Samsung 970 Evo;116.55;500;0.233;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
182;Silicon Power P34A60;39.99;512;0.078;SSD;;M.2-2280;M.2 PCIe 3.0 X4
183;ADATA XPG SX8200 Pro;94.14;1000;0.094;SSD;;M.2-2280;M.2 PCIe 3.0 X4
184;Corsair MP700 PRO;569.99;4000;0.142;SSD;;M.2-2280;M.2 PCIe 5.0 X4
185;ADATA Legend 800;108.99;2000;0.054;SSD;;M.2-2280;M.2 PCIe 4.0 X4
186;TEAMGROUP T-Force Vulcan Z;21.99;240;0.092;SSD;;2.5;SATA 6.0 Gb/s
187;Klevv CRAS C710;59.99;1000;0.06;SSD;;M.2-2280;M.2 PCIe 3.0 X4
188;TEAMGROUP MP33;25.99;256;0.102;SSD;;M.2-2280;M.2 PCIe 3.0 X4
189;Western Digital AV-GP;24.98;1000;0.025;5400;64;3.5;SATA 6.0 Gb/s
190;Leven JPS800;104.99;2000;0.052;SSD;;M.2-2280;M.2 PCIe 4.0 X4
191;Western Digital Blue SN550;133;1000;0.133;SSD;;M.2-2280;M.2 PCIe 3.0 X4
192;Mushkin Vortex Redline;77.98;1000;0.078;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
193;TEAMGROUP Cardea Zero Z440 Graphene;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
194;Samsung 870 QVO;166.05;2000;0.083;SSD;;2.5;SATA 6.0 Gb/s
195;Gigabyte AORUS Gen4 7300;123.05;1000;0.123;SSD;1024;M.2-2280;M.2 PCIe 4.0 X4
196;TEAMGROUP T-Force Cardea Z44L;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
197;KIOXIA EXCERIA G2;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
198;Corsair MP700;149.99;1000;0.15;SSD;;M.2-2280;M.2 PCIe 5.0 X4
199;Seagate Constellation ES.3;25.5;1000;0.025;7200;128;3.5;SATA 6.0 Gb/s
200;Seagate 1200 SSD;3187.5;800;3.984;SSD;;2.5;SAS 12.0 Gb/s
201;Western Digital Red;89.99;4000;0.022;5400;256;3.5;SATA 6.0 Gb/s
202;Acer Predator GM7000;54.99;512;0.107;SSD;512;M.2-2280;M.2 PCIe 4.0 X4
203;ADATA XPG GAMMIX S7;59.99;1000;0.06;SSD;;M.2-2280;M.2 PCIe 3.0 X4
204;Western Digital Blue;80.98;500;0.162;SSD;;2.5;SATA 6.0 Gb/s
205;Seagate IronWolf NAS;175.99;8000;0.022;7200;256;3.5;SATA 6.0 Gb/s
206;Seagate BarraCuda Q5;63.99;1000;0.064;SSD;;M.2-2280;M.2 PCIe 3.0 X4
207;Western Digital AV-GP;;500;;5400;32;3.5;SATA 3.0 Gb/s
208;Western Digital WD_BLACK;249.99;10000;0.025;7200;256;3.5;SATA 6.0 Gb/s
209;Samsung 980;44.99;250;0.18;SSD;;M.2-2280;M.2 PCIe 3.0 X4
210;Western Digital Blue;124.95;8000;0.016;5640;128;3.5;SATA 6.0 Gb/s
211;KIOXIA EXCERIA PLUS G3;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
212;Samsung 850 Evo;;500;;SSD;;2.5;SATA 6.0 Gb/s
213;Western Digital Blue SN580;58.88;500;0.118;SSD;;M.2-2280;M.2 PCIe 4.0 X4
214;Kingston KC3000;70.98;512;0.139;SSD;;M.2-2280;M.2 PCIe 4.0 X4
215;Samsung 870 QVO;339.99;4000;0.085;SSD;;2.5;SATA 6.0 Gb/s
216;Seagate Exos X20;379.99;20000;0.019;7200;256;3.5;SATA 6.0 Gb/s
217;Silicon Power P34A60;60.99;1000;0.061;SSD;;M.2-2280;M.2 PCIe 3.0 X4
218;Intel 670p;86.37;1000;0.086;SSD;;M.2-2280;M.2 PCIe 3.0 X4
219;Sabrent Rocket Q;;8000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
220;Corsair MP700;248.99;2000;0.124;SSD;;M.2-2280;M.2 PCIe 5.0 X4
221;Kingston A400;27.99;120;0.233;SSD;;2.5;SATA 6.0 Gb/s
222;Seagate IronWolf NAS;179.99;8000;0.022;7200;256;3.5;SATA 6.0 Gb/s
223;MSI SPATIUM M450;41.98;500;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
224;Silicon Power A60;104.99;2000;0.052;SSD;;M.2-2280;M.2 PCIe 3.0 X4
225;Western Digital Black SN850X w/Heatsink;111.1;1000;0.111;SSD;;M.2-2280;M.2 PCIe 4.0 X4
226;Intel DC P3600;1392;1600;0.87;SSD;;PCIe;PCIe x4
227;TEAMGROUP MP44;74.98;1000;0.075;SSD;;M.2-2280;M.2 PCIe 4.0 X4
228;Crucial P2;89.99;1000;0.09;SSD;;M.2-2280;M.2 PCIe 3.0 X4
229;TEAMGROUP T-Force Vulcan Z;199.99;4000;0.05;SSD;;2.5;SATA 6.0 Gb/s
230;TEAMGROUP MP33 PRO;64.98;1000;0.065;SSD;;M.2-2280;M.2 PCIe 3.0 X4
231;Western Digital Black SN750;49.99;500;0.1;SSD;;M.2-2280;M.2 PCIe 3.0 X4
232;Silicon Power A55;57.99;1000;0.058;SSD;;2.5;SATA 6.0 Gb/s
233;Western Digital Red Plus;229.99;12000;0.019;7200;256;3.5;SATA 6.0 Gb/s
234;Patriot P310;35.99;480;0.075;SSD;;M.2-2280;M.2 PCIe 3.0 X4
235;Seagate Constellation CS;49.99;3000;0.017;7200;64;3.5;SATA 6.0 Gb/s
236;Silicon Power A55;97.99;2000;0.049;SSD;;2.5;SATA 6.0 Gb/s
237;Seagate IronWolf Pro NAS;349.99;20000;0.017;7200;256;3.5;SATA 6.0 Gb/s
238;Western Digital Blue;27.35;500;0.055;5400;64;3.5;SATA 6.0 Gb/s
239;Samsung 870 QVO;79.98;1000;0.08;SSD;;2.5;SATA 6.0 Gb/s
240;Gigabyte AORUS Gen4 7300;209.7;2000;0.105;SSD;2048;M.2-2280;M.2 PCIe 4.0 X4
241;Western Digital Black SN770;49.99;250;0.2;SSD;;M.2-2280;M.2 PCIe 4.0 X4
242;Corsair MP700 PRO w/Heatsink;589.99;4000;0.147;SSD;;M.2-2280;M.2 PCIe 5.0 X4
243;Seagate IronWolf Pro NAS;314.99;16000;0.02;7200;256;3.5;SATA 6.0 Gb/s
244;Leven JM600;54.99;1000;0.055;SSD;;M.2-2280;M.2 SATA
245;Inland TN450;69.98;1000;0.07;SSD;;M.2-2280;M.2 PCIe 4.0 X4
246;Western Digital Caviar Blue;19.88;500;0.04;7200;16;3.5;SATA 6.0 Gb/s
247;Western Digital Blue;39.99;1000;0.04;5400;64;3.5;SATA 6.0 Gb/s
248;Kingston Fury Renegade;334.52;4000;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
249;PNY CS900;36.99;500;0.074;SSD;;2.5;SATA 6.0 Gb/s
250;SanDisk SSD PLUS;74.99;1000;0.075;SSD;;2.5;SATA 6.0 Gb/s
251;Toshiba DT01ACA100;;1000;;7200;32;3.5;SATA 6.0 Gb/s
252;KIOXIA EXCERIA PLUS G3;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
253;Western Digital WD_BLACK;99.99;2000;0.05;7200;64;3.5;SATA 6.0 Gb/s
254;Patriot P210;19.98;256;0.078;SSD;;2.5;SATA 6.0 Gb/s
255;FanXiang S500 Pro;38.99;512;0.076;SSD;;M.2-2280;M.2 PCIe 3.0 X4
256;Patriot P310;;960;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
257;Corsair MP700 PRO;179.99;1000;0.18;SSD;;M.2-2280;M.2 PCIe 5.0 X4
258;Patriot Viper VP4300 Lite;119.99;2000;0.06;SSD;;M.2-2280;M.2 PCIe 4.0 X4
259;Kingston KC600;33.85;256;0.132;SSD;;2.5;SATA 6.0 Gb/s
260;Crucial P2;78.55;500;0.157;SSD;;M.2-2280;M.2 PCIe 3.0 X4
261;Western Digital Green SN350;59.99;960;0.062;SSD;;M.2-2280;M.2 PCIe 3.0 X4
262;Intel 660p;75;1020;0.074;SSD;;M.2-2280;M.2 PCIe 3.0 X4
263;TEAMGROUP EX2;;16000;;SSD;;2.5;SATA 6.0 Gb/s
264;TEAMGROUP GX2;32.99;512;0.064;SSD;;2.5;SATA 6.0 Gb/s
265;Toshiba MQ01ABD050;16;500;0.032;5400;8;2.5;SATA 3.0 Gb/s
266;Crucial P1;109;1000;0.109;SSD;;M.2-2280;M.2 PCIe 3.0 X4
267;Silicon Power US75;214.99;4000;0.054;SSD;;M.2-2280;M.2 PCIe 4.0 X4
268;Lexar NM620;42.99;512;0.084;SSD;;M.2-2280;M.2 PCIe 3.0 X4
269;Mushkin Helix-L;37.99;512;0.074;SSD;;M.2-2280;M.2 PCIe 4.0 X4
270;Silicon Power A55;34.99;512;0.068;SSD;;2.5;SATA 6.0 Gb/s
271;PNY CS1030;74.98;1000;0.075;SSD;;M.2-2280;M.2 PCIe 3.0 X4
272;Leven JS600;184.99;4000;0.046;SSD;;2.5;SATA 6.0 Gb/s
273;Seagate BarraCuda;131.66;5000;0.026;5400;128;2.5;SATA 6.0 Gb/s
274;TEAMGROUP MP44L;43.99;500;0.088;SSD;;M.2-2280;M.2 PCIe 4.0 X4
275;Crucial MX500;39.99;250;0.16;SSD;256;2.5;SATA 6.0 Gb/s
276;Crucial BX500;27.99;240;0.117;SSD;;2.5;SATA 6.0 Gb/s
277;Western Digital Green SN350;39.99;480;0.083;SSD;;M.2-2280;M.2 PCIe 3.0 X4
278;Western Digital Green SN350;119.34;2000;0.06;SSD;;M.2-2280;M.2 PCIe 3.0 X4
